Month,Year,Index of Consumer Sentiment,Better Financial Situation Compared with a Year Ago,Same Financial Situation Compared with a Year Ago,Worse Financial Situation Compared with a Year Ago,Expected Better Off financial situation in a year, Expected Same financial situation in a year,Expected Worse financial situation in a year,Less Unemployment ,Same  Unemployment ,More Unemployment , Interest Rates Go Up, Interest Rates Stay the Same, Interest Rates Go Down,Prices Down,Prices Same,Prices Up by 1-2%,Prices Up by 3-4%,Prices Up by 5%,Prices Up by 6-9%,Prices Up by 10-14%,Prices Up by 15%+,Prices Up; DK how much,Good time to buy Large Household Goods,Bad time to buy  Large Household Goods,Good time to Buy Vehicles,Bad time to Buy Vehicles,Good time to Buy  Houses,Bad time to Buy  Houses,Good Times financially,Bad Times  financially,Inflation 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
